id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,gc_distance,trip_duration
id3848589,1,2016-01-01T02:30:00.000Z,2016-01-01T02:44:00.000Z,3,-73.92932129,40.76273346,-73.95191956,40.78118896,1.739521949,847
id0209056,2,2016-01-01T02:30:00.000Z,2016-01-01T02:48:00.000Z,1,-73.97415161,40.7313118,-73.95124054,40.72446823,1.289814275,1074
id3657496,1,2016-01-01T02:30:00.000Z,2016-01-01T03:03:00.000Z,1,-73.95149994,40.71102524,-73.98103333,40.76968384,4.339021932,1979
id2312262,2,2016-01-01T02:30:00.000Z,2016-01-01T02:34:00.000Z,1,-73.95954132,40.77101135,-73.94238281,40.79468155,1.866143986,257
id3754571,1,2016-01-01T02:30:00.000Z,2016-01-01T03:08:00.000Z,2,-73.99104309,40.72770691,-73.92120361,40.70734787,3.919660761,2251
id1680726,2,2016-01-01T02:31:00.000Z,2016-01-01T02:38:00.000Z,1,-73.97209167,40.74621582,-73.95600891,40.76768112,1.705800603,454
id1339131,2,2016-01-01T02:31:00.000Z,2016-01-01T02:37:00.000Z,2,-73.99423218,40.7663002,-73.98114777,40.77088928,0.754749151,351
id0106324,2,2016-01-01T02:31:00.000Z,2016-01-01T02:45:00.000Z,6,-73.98880005,40.72673035,-74.00198364,40.75078964,1.800427548,870
id0627893,2,2016-01-01T02:31:00.000Z,2016-01-01T02:41:00.000Z,2,-73.98126221,40.70295334,-73.99964142,40.68426132,1.611354937,618
id2303962,2,2016-01-01T02:32:00.000Z,2016-01-01T02:44:00.000Z,5,-73.98444366,40.75466919,-73.99430847,40.73724365,1.310421778,739
id2359910,2,2016-01-01T02:32:00.000Z,2016-01-01T02:45:00.000Z,1,-73.99198914,40.76400375,-73.95831299,40.7646904,1.763454703,812
id2622905,2,2016-01-01T02:32:00.000Z,2016-01-01T02:42:00.000Z,1,-73.98666382,40.71823883,-74.00855255,40.70479202,1.476010681,607
id2565232,2,2016-01-01T02:32:00.000Z,2016-01-01T02:34:00.000Z,1,-73.95256042,40.82387924,-73.94818115,40.82717896,0.323204535,122
id1134176,2,2016-01-01T02:33:00.000Z,2016-01-01T02:36:00.000Z,5,-73.95542908,40.76861954,-73.9506073,40.77980042,0.812906654,188
id0898806,2,2016-01-01T02:33:00.000Z,2016-01-01T03:01:00.000Z,5,-73.92144012,40.86772156,-73.92095947,40.74671936,8.36283735,1666
id1210574,2,2016-01-01T02:34:00.000Z,2016-01-01T03:10:00.000Z,1,-73.98160553,40.78051376,-73.95590973,40.72137833,4.30274915,2164
id2252563,1,2016-01-01T02:34:00.000Z,2016-01-01T02:52:00.000Z,1,-74.00246429,40.75016785,-73.949646,40.78173447,3.521869274,1091
id1291640,2,2016-01-01T02:34:00.000Z,2016-01-01T02:43:00.000Z,2,-73.99891663,40.7282486,-73.98783112,40.74960327,1.585941972,504
id1583760,1,2016-01-01T02:34:00.000Z,2016-01-01T02:45:00.000Z,2,-73.98461151,40.6713562,-74.00624084,40.64560699,2.110204021,618
id3220687,1,2016-01-01T02:34:00.000Z,2016-01-01T02:45:00.000Z,1,-73.97971344,40.74376678,-73.95266724,40.77983093,2.866542777,627
id2848561,1,2016-01-01T02:34:00.000Z,2016-01-01T02:47:00.000Z,3,-74.00180054,40.73243713,-74.01725769,40.70937347,1.787834149,764
id2348003,2,2016-01-01T02:34:00.000Z,2016-01-01T02:47:00.000Z,1,-73.97795105,40.74200821,-74.01409149,40.7080307,3.016224417,774
id3771371,2,2016-01-01T02:34:00.000Z,2016-01-01T02:39:00.000Z,1,-73.97993469,40.74309921,-73.96781921,40.75685883,1.143116997,310
id2211660,1,2016-01-01T02:34:00.000Z,2016-01-01T02:41:00.000Z,3,-73.97194672,40.78237534,-73.94691467,40.77215958,1.488217308,417
